date,value
2023-02-28,7.381
2023-03-31,7.4497
2023-04-30,7.1156
2023-05-31,7.0484
2023-06-30,7.0522
2023-07-31,6.6311
2023-08-31,6.5675
2023-09-30,6.5596
2023-10-31,6.1948
2023-11-30,6.0506
2023-12-31,5.9898
2024-01-31,5.7284
2024-02-29,5.5736
2024-03-31,5.4071
2024-04-30,5.0985
2024-05-31,4.9435
2024-06-30,5.0981
2024-07-31,4.8436
2024-08-31,4.7339
2024-09-30,4.6121
2024-10-31,4.2232
2024-11-30,4.1399
2024-12-31,3.8929
2025-01-31,3.9888
2025-02-28,3.5292
2025-03-31,3.5809
2025-04-30,3.4455
2025-05-31,3.2904
2025-06-30,3.058
2025-07-31,3.1213
2025-08-31,2.9292
2025-09-30,2.654
2025-10-31,2.5456
2025-11-30,2.3501
2025-12-31,2.0473
2026-01-31,1.9096
2026-02-28,1.8512
