date,value
2023-02-28,3.3
2023-03-31,3.3105
2023-04-30,3.3196
2023-05-31,3.3416
2023-06-30,3.3627
2023-07-31,3.3937
2023-08-31,3.3917
2023-09-30,3.4176
2023-10-31,3.4277
2023-11-30,3.4416
2023-12-31,3.4505
2024-01-31,3.4508
2024-02-29,3.4935
2024-03-31,3.4904
2024-04-30,3.5089
2024-05-31,3.5478
2024-06-30,3.5455
2024-07-31,3.5704
2024-08-31,3.5605
2024-09-30,3.5942
2024-10-31,3.6089
2024-11-30,3.6074
2024-12-31,3.645
2025-01-31,3.6329
2025-02-28,3.6577
2025-03-31,3.6778
2025-04-30,3.7158
2025-05-31,3.7047
2025-06-30,3.7328
2025-07-31,3.7397
2025-08-31,3.7449
2025-09-30,3.7752
2025-10-31,3.7908
2025-11-30,3.7992
2025-12-31,3.8158
2026-01-31,3.8284
2026-02-28,3.8466
