date,value
2023-02-28,7.8353
2023-03-31,7.8112
2023-04-30,7.7225
2023-05-31,7.521
2023-06-30,7.2439
2023-07-31,7.1972
2023-08-31,6.9645
2023-09-30,6.7485
2023-10-31,6.8433
2023-11-30,6.6741
2023-12-31,6.2614
2024-01-31,6.0852
2024-02-29,5.9342
2024-03-31,5.7686
2024-04-30,5.8614
2024-05-31,5.5037
2024-06-30,5.3563
2024-07-31,5.0509
2024-08-31,5.0627
2024-09-30,4.9306
2024-10-31,4.8355
2024-11-30,4.4951
2024-12-31,4.4519
2025-01-31,4.281
2025-02-28,4.082
2025-03-31,4.0728
2025-04-30,3.7063
2025-05-31,3.7583
2025-06-30,3.4499
2025-07-31,3.1782
2025-08-31,3.0427
2025-09-30,2.9555
2025-10-31,2.5412
2025-11-30,2.6603
2025-12-31,2.3509
2026-01-31,2.4368
2026-02-28,2.0118
