date,value
2023-02-28,6.6918
2023-03-31,6.6948
2023-04-30,6.6906
2023-05-31,6.3367
2023-06-30,6.4197
2023-07-31,6.2119
2023-08-31,5.9933
2023-09-30,5.9769
2023-10-31,5.8308
2023-11-30,5.7627
2023-12-31,5.6777
2024-01-31,5.3428
2024-02-29,5.3198
2024-03-31,5.3696
2024-04-30,5.1946
2024-05-31,4.9346
2024-06-30,4.8333
2024-07-31,4.7636
2024-08-31,4.5235
2024-09-30,4.647
2024-10-31,4.384
2024-11-30,4.3266
2024-12-31,4.1157
2025-01-31,4.107
2025-02-28,3.9437
2025-03-31,3.8631
2025-04-30,3.8186
2025-05-31,3.6549
2025-06-30,3.5741
2025-07-31,3.5551
2025-08-31,3.3982
2025-09-30,3.1876
2025-10-31,3.1273
2025-11-30,2.8752
2025-12-31,2.8144
2026-01-31,2.6653
2026-02-28,2.7397
